m/z,Formula,ID,IsotopeLabel,Ion form,Compound
202.0192299,C4H9O7P,1016,C13-label-1,[M+H]+,Erythrose 4-phosphate
203.0225848,C4H9O7P,1016,C13-label-2,[M+H]+,Erythrose 4-phosphate
204.0259396,C4H9O7P,1016,C13-label-3,[M+H]+,Erythrose 4-phosphate
205.0292944,C4H9O7P,1016,C13-label-4,[M+H]+,Erythrose 4-phosphate
212.0430901,C4H10N3O5P,1017,C13-label-0,[M+H]+,Phosphocreatine_isomer
213.0464449,C4H10N3O5P,1017,C13-label-1,[M+H]+,Phosphocreatine_isomer
214.0497998,C4H10N3O5P,1017,C13-label-2,[M+H]+,Phosphocreatine_isomer
215.0531546,C4H10N3O5P,1017,C13-label-3,[M+H]+,Phosphocreatine_isomer
216.0565094,C4H10N3O5P,1017,C13-label-4,[M+H]+,Phosphocreatine_isomer
82.0651256,C5H7N,1018,C13-label-0,[M+H]+,Methylpyrrole_isomer
83.06848044,C5H7N,1018,C13-label-1,[M+H]+,Methylpyrrole_isomer
84.07183527,C5H7N,1018,C13-label-2,[M+H]+,Methylpyrrole_isomer
85.07519011,C5H7N,1018,C13-label-3,[M+H]+,Methylpyrrole_isomer
86.07854494,C5H7N,1018,C13-label-4,[M+H]+,Methylpyrrole_isomer
87.08189978,C5H7N,1018,C13-label-5,[M+H]+,Methylpyrrole_isomer
116.0706076,C5H9NO2,1019,C13-label-0,[M+H]+,Proline
117.0739624,C5H9NO2,1019,C13-label-1,[M+H]+,Proline
118.0773173,C5H9NO2,1019,C13-label-2,[M+H]+,Proline
119.0806721,C5H9NO2,1019,C13-label-3,[M+H]+,Proline
120.0840269,C5H9NO2,1019,C13-label-4,[M+H]+,Proline
121.0873818,C5H9NO2,1019,C13-label-5,[M+H]+,Proline
118.0862576,C5H11NO2,1020,C13-label-0,[M+H]+,Betaine
119.0896124,C5H11NO2,1020,C13-label-1,[M+H]+,Betaine
120.0929673,C5H11NO2,1020,C13-label-2,[M+H]+,Betaine
121.0963221,C5H11NO2,1020,C13-label-3,[M+H]+,Betaine
122.0996769,C5H11NO2,1020,C13-label-4,[M+H]+,Betaine
123.1030318,C5H11NO2,1020,C13-label-5,[M+H]+,Betaine
129.0658566,C5H8N2O2,1021,C13-label-0,[M+H]+,Dihydrothymine_isomer
130.0692114,C5H8N2O2,1021,C13-label-1,[M+H]+,Dihydrothymine_isomer
131.0725663,C5H8N2O2,1021,C13-label-2,[M+H]+,Dihydrothymine_isomer
132.0759211,C5H8N2O2,1021,C13-label-3,[M+H]+,Dihydrothymine_isomer
133.0792759,C5H8N2O2,1021,C13-label-4,[M+H]+,Dihydrothymine_isomer
134.0826308,C5H8N2O2,1021,C13-label-5,[M+H]+,Dihydrothymine_isomer
130.0498736,C5H7NO3,1022,C13-label-0,[M+H]+,Oxoproline_isomer
131.0532284,C5H7NO3,1022,C13-label-1,[M+H]+,Oxoproline_isomer
132.0565833,C5H7NO3,1022,C13-label-2,[M+H]+,Oxoproline_isomer
133.0599381,C5H7NO3,1022,C13-label-3,[M+H]+,Oxoproline_isomer
134.0632929,C5H7NO3,1022,C13-label-4,[M+H]+,Oxoproline_isomer
135.0666478,C5H7NO3,1022,C13-label-5,[M+H]+,Oxoproline_isomer
137.0457886,C5H4N4O,1023,C13-label-0,[M+H]+,Hypoxanthine_isomer
138.0491434,C5H4N4O,1023,C13-label-1,[M+H]+,Hypoxanthine_isomer
139.0524983,C5H4N4O,1023,C13-label-2,[M+H]+,Hypoxanthine_isomer
