m/z,Formula,ID,IsotopeLabel,Ion form,Compound
120.0309784,C4H7NOS,18,C13-label-4,[M-H]-,Homocysteine thiolactone
116.0353204,C4H7NO3,19,C12 PARENT,[M-H]-,Acetylglycine
117.0386752,C4H7NO3,19,C13-label-1,[M-H]-,Acetylglycine
118.0420301,C4H7NO3,19,C13-label-2,[M-H]-,Acetylglycine
119.0453849,C4H7NO3,19,C13-label-3,[M-H]-,Acetylglycine
120.0487397,C4H7NO3,19,C13-label-4,[M-H]-,Acetylglycine
101.0244214,C4H6O3,20,C12 PARENT,[M-H]-,Acetoacetate
102.0277762,C4H6O3,20,C13-label-1,[M-H]-,Acetoacetate
103.0311311,C4H6O3,20,C13-label-2,[M-H]-,Acetoacetate
104.0344859,C4H6O3,20,C13-label-3,[M-H]-,Acetoacetate
105.0378407,C4H6O3,20,C13-label-4,[M-H]-,Acetoacetate
102.0560544,C4H9NO2,21,C12 PARENT,[M-H]-,Aminobutanoate
103.0594092,C4H9NO2,21,C13-label-1,[M-H]-,Aminobutanoate
104.0627641,C4H9NO2,21,C13-label-2,[M-H]-,Aminobutanoate
105.0661189,C4H9NO2,21,C13-label-3,[M-H]-,Aminobutanoate
106.0694737,C4H9NO2,21,C13-label-4,[M-H]-,Aminobutanoate
103.0400714,C4H8O3,22,C12 PARENT,[M-H]-,Hydroxybutanoic acid
104.0434262,C4H8O3,22,C13-label-1,[M-H]-,Hydroxybutanoic acid
105.0467811,C4H8O3,22,C13-label-2,[M-H]-,Hydroxybutanoic acid
106.0501359,C4H8O3,22,C13-label-3,[M-H]-,Hydroxybutanoic acid
107.0534907,C4H8O3,22,C13-label-4,[M-H]-,Hydroxybutanoic acid
111.0200034,C4H4N2O2,23,C12 PARENT,[M-H]-,Uracil
112.0233582,C4H4N2O2,23,C13-label-1,[M-H]-,Uracil
113.0267131,C4H4N2O2,23,C13-label-2,[M-H]-,Uracil
114.0300679,C4H4N2O2,23,C13-label-3,[M-H]-,Uracil
115.0334227,C4H4N2O2,23,C13-label-4,[M-H]-,Uracil
114.0196704,C4H5NO3,24,C12 PARENT,[M-H]-,Hydroxysuccinimide
115.0230252,C4H5NO3,24,C13-label-1,[M-H]-,Hydroxysuccinimide
116.0263801,C4H5NO3,24,C13-label-2,[M-H]-,Hydroxysuccinimide
117.0297349,C4H5NO3,24,C13-label-3,[M-H]-,Hydroxysuccinimide
118.0330897,C4H5NO3,24,C13-label-4,[M-H]-,Hydroxysuccinimide
115.0036874,C4H4O4,25,C12 PARENT,[M-H]-,Maleic acid
116.0070422,C4H4O4,25,C13-label-1,[M-H]-,Maleic acid
117.0103971,C4H4O4,25,C13-label-2,[M-H]-,Maleic acid
118.0137519,C4H4O4,25,C13-label-3,[M-H]-,Maleic acid
119.0171067,C4H4O4,25,C13-label-4,[M-H]-,Maleic acid
