Unlabel_01,Intensity,Unlabel_02,Intensity,Unlabel_03,Intensity,Glc_Label_01,Intensity,Glc_Label_02,Intensity,Glc_Label_03,Intensity
70.2042,5.4951,70.211,2.8775,70.2532,3.3624,70.2147,6.0526,70.9706,13.7667,70.329,3.8601
70.2232,4.8207,70.2131,3.1403,70.2542,6.6376,70.2182,3.0952,70.9809,15.6889,70.3316,3.8986
70.2244,2.6452,70.216,3,70.2557,3.3052,70.2256,2.8496,70.9822,13.1111,70.3346,3.5385
70.2265,5.2807,70.2211,2.7194,70.2575,3.2343,70.2298,2.7895,71.0122,229.9222,70.3394,3.6434
70.2283,2.3177,70.2304,2.8886,70.2587,3.5695,70.2337,3.2431,71.0136,5784.4775,70.3462,3.7378
70.2324,5.3411,70.2341,2.853,70.2776,3.3515,70.2352,3.0451,71.05,30.2889,70.3476,4.4301
70.2382,6.0078,70.2363,2.8886,70.2871,3.7929,70.239,2.6316,71.0587,14.2556,70.368,3.979
70.2398,2.3528,70.2383,3.1693,70.2917,3.9537,70.2498,2.9248,71.1178,12.3222,70.3703,7.8881
70.2421,2.6296,70.2423,6.9933,70.2936,3.861,70.2539,3.2481,71.1924,12.7111,70.3953,4.3182
70.2438,2.5945,70.2504,6.029,70.2987,3.5068,70.2573,3.218,71.2025,13.3333,70.4064,4.0105
70.2498,3.0448,70.2563,2.8775,70.2998,2.97,70.2584,2.8596,71.2109,18.2556,70.4131,4.2587
70.2532,6.0585,70.2612,3.51,70.3041,3.2752,70.263,2.8596,71.2124,13.6556,70.4198,7.958
70.2561,2.807,70.2633,6.7773,70.3085,9.3896,70.2652,2.6942,71.2204,14.4111,70.4278,7.451
70.2611,2.4522,70.2682,2.7996,70.3152,3.2452,70.2754,3.1153,71.2239,13.9333,70.4315,8.2762
70.2668,5.4016,70.2708,3.0512,70.3217,3.3324,70.2774,2.9373,71.2518,15.8778,70.4333,4.479
70.2695,2.425,70.2731,3.5189,70.3291,6.2316,70.2806,3.1178,71.2667,11.1778,70.4386,4.0245
70.2723,5.4678,70.2825,3.1982,70.3328,6.3515,70.2859,3.3133,71.2723,15.3667,70.4424,4.4091
70.2824,4.9337,70.2855,6.5367,70.3348,3.1989,70.2878,2.995,71.2792,14.3,70.4445,4.6259
70.2913,3.2437,70.2883,6.5679,70.3372,3.4305,70.2952,3.1003,71.2837,14.3111,70.4465,7.4126
70.2945,2.8674,70.2919,5.343,70.3403,4.0654,70.3019,2.7143,71.3181,12.6556,70.4481,3.5699
70.3006,2.5302,70.2983,8.931,70.3428,3.3134,70.3076,3.01,71.3326,12.9889,70.4683,4
70.3032,10.5497,70.302,3.0935,70.3538,3.3815,70.3102,2.8822,71.3366,13.6889,70.4819,3.4441
70.3052,3.3762,70.3031,2.9243,70.3582,3.109,70.317,3.1779,71.3938,11.9667,70.4869,3.6713
70.3087,2.3626,70.3047,3.0601,70.3636,3.079,70.3219,3.0677,71.4017,13.6889,70.495,3.9825
70.3155,2.193,70.3081,2.9532,70.3685,3.0136,70.324,3.2306,71.4188,14.5444,70.4978,4.0594
70.3169,2.3918,70.3189,8.9911,70.3702,6.1689,70.333,2.8471,71.4198,15.1111,70.5006,3.9685
70.3245,2.3314,70.3218,3.049,70.3753,3.4796,70.3363,3.218,71.4232,17.2222,70.5187,8.1678
70.3292,2.7836,70.3418,9.7439,70.3772,3.4469,70.3395,3.2732,71.426,12.9444,70.5214,7.451
70.3355,2.5244,70.3443,3.706,70.3806,3.2125,70.3417,3.5865,71.4298,14.8556,70.5284,4.9196
70.337,2.6257,70.3454,3.3853,70.3858,6.0817,70.3434,3.3083,71.4368,13.6333,70.5313,3.4336
70.3552,2.0663,70.353,3.6526,70.389,2.8965,70.3459,2.9825,71.4395,14.2333,70.543,5.028
70.3596,2.191,70.3566,3.441,70.3962,3.5586,70.3478,3.5163,71.4523,12.6111,70.5444,4.1189
70.3621,2.922,70.3614,3.2739,70.3979,3.6812,70.3527,2.9123,71.5,12.5889,70.5467,11.8147
70.371,2.3528,70.3652,8.6526,70.4023,3.2752,70.3568,6.2807,71.5029,12.2444,70.5582,3.8986
70.3726,2.4444,70.3693,3.2183,70.4041,3.1608,70.3601,2.8321,71.5336,15.0556,70.5711,3.6538
70.3755,2.308,70.3867,3.2584,70.4202,3.5831,70.3626,9.3559,71.5416,14.5333,70.5776,3.6224
70.3784,2.5322,70.3885,6.6347,70.4268,3.0027,70.3737,3.1479,71.5568,13.3667,70.581,8.542
70.3824,4.6257,70.3956,3.0045,70.4279,2.8474,70.3765,2.7193,71.5814,12.2222,70.5936,3.6084
70.3866,6.1131,70.3984,3.1782,70.4295,3.5504,70.3796,3.2707,71.5862,12.8667,70.6017,3.986
70.3964,2.4659,70.4013,2.7795,70.431,10.4959,70.3821,2.9223,71.6014,16.0667,70.6039,3.6503
70.399,2.0429,70.4029,2.7327,70.4352,2.8965,70.3883,3.0075,71.6071,12.1,70.6227,9.5839
70.404,2.4971,70.4056,5.6592,70.4426,3.3215,70.3904,3.2556,71.644,13.2889,70.6302,4.0909
70.4121,8.1131,70.4066,2.8486,70.4482,2.9646,70.3965,3.3208,71.6779,14.0667,70.6432,9.3357
70.4134,2.5634,70.4088,5.4165,70.45,3.6349,70.3981,7.3759,71.6794,15.6444,70.6446,3.9091
70.4175,9.269,70.4132,3.1448,70.4525,3.4469,70.4035,3.7093,71.6938,12.7667,70.6496,7.979
70.4188,2.5906,70.4143,3.1693,70.4548,4.1417,70.407,2.7694,71.6974,13.0111,70.659,3.993
70.4199,7.6784,70.4192,6.1826,70.456,3.2098,70.4103,2.5338,71.7014,13.5778,70.6612,4.535
70.4227,2.5828,70.4218,3.1559,70.458,2.7466,70.4116,3.2807,71.7308,15.3222,70.6657,3.993
70.4249,3.345,70.4239,6.5212,70.4703,2.9046,70.4163,3.0501,71.7437,13.0778,70.6689,3.986
70.4299,2.4133,70.4279,3.2829,70.4738,3.0191,70.4282,2.9975,71.7449,15.1111,70.6836,3.5455
70.431,5.2749,70.4351,3.4722,70.4791,3.4332,70.4312,4.015,71.7562,11.8667,70.6859,4.1224
70.4324,2.2456,70.4373,3.0379,70.4845,6.7112,70.4327,3.2381,71.7882,16.0444,70.6878,8.4441
70.4336,3.425,70.4433,2.922,70.488,3.5123,70.4376,3.1228,71.8283,12.7444,70.6927,3.8916
70.4405,2.6784,70.445,4.2673,70.4928,2.9837,70.4416,3.0251,71.8878,25.0556,70.6958,3.6748
70.4479,2.308,70.4473,2.6503,70.4959,3.1471,70.443,3.1253,71.913,14.9778,70.7001,8.6259
70.452,2.5828,70.4569,3.1269,70.4988,3.1744,70.447,3.1704,71.9159,13.2222,70.7187,3.7273
70.4579,2.7661,70.462,3.3608,70.5003,6.9809,70.4535,6.3258,71.9181,13.7444,70.7248,3.8776
70.4633,3.5107,70.4647,2.9621,70.5064,3.3079,70.4577,3.4762,71.9488,27.0778,70.7335,4.5315
70.4726,2.5614,70.467,5.971,70.5127,6.594,70.459,3.005,71.9627,15.2333,70.7358,3.7727
70.48,4.9454,70.4773,2.8797,70.5156,3.0354,70.4607,2.9649,72.0408,13.8,70.7527,3.6888
70.484,7.731,70.4814,6.1336,70.5183,3.0654,70.464,3.0827,72.052,16.0667,70.7567,3.3951
70.4862,2.577,70.4849,3.1047,70.5246,3.6294,70.4662,2.9599,72.0651,13.2667,70.7668,7.2902
70.4874,2.8148,70.493,6.0334,70.5366,6.7275,70.4744,2.6341,72.0675,13.0444,70.7744,3.6503
70.4897,5.5458,70.4951,2.4922,70.5379,2.921,70.4756,3.1153,72.076,11.6333,70.8052,7.2692
70.4945,2.384,70.4981,2.6882,70.5426,3.1635,70.4806,2.9148,72.1253,12.7222,70.8073,4.8671
70.4984,2.2281,70.5065,2.6548,70.5478,3.2153,70.4857,2.6742,72.1271,13.4556,70.81,3.8287
70.5009,7.9103,70.509,3.2094,70.551,3.4387,70.494,2.8997,72.155,13.6333,70.8233,3.8217
70.5083,2.4288,70.5156,3.1537,70.5599,6.9673,70.5096,6.7168,72.1604,13.3556,70.8344,3.8706
70.5137,4.5945,70.5176,4.1002,70.5614,3.2725,70.511,2.9023,72.1844,14.9667,70.8355,4.1259
70.5202,3.0039,70.52,3.0156,70.5626,3.2534,70.5126,2.8195,72.1918,12.7556,70.8383,7.7028
70.5216,2.2515,70.5231,3.02,70.5724,6.7139,70.5204,3.1754,72.234,13.6111,70.8416,4.3566
70.5247,5.9474,70.5265,2.6927,70.577,3.0654,70.5221,9.401,72.2421,12.9111,70.8457,3.458
70.5265,2.8733,70.5352,3.2071,70.5796,3.1117,70.5327,2.7945,72.2557,13.6667,70.8487,3.5699
70.5334,2.5419,70.5371,3.1782,70.5849,10.4387,70.5365,5.2055,72.2597,13.6,70.8502,7.8287
70.5401,2.4366,70.5382,5.7305,70.587,3.0708,70.5415,2.7494,72.2748,12.6778,70.8565,3.8112
70.5415,1.9961,70.5399,8.7506,70.5891,3.3733,70.5428,2.9699,72.2829,13.2556,70.8576,6.9895
70.5444,3.1559,70.5416,3.1136,70.5936,3.6158,70.5463,5.9449,72.2935,14.8333,70.8611,7.6748
70.5623,2.1442,70.5445,3.0802,70.5972,4.049,70.5503,2.9875,72.2947,14.1222,70.8674,3.5455
70.5689,2.6667,70.5464,3.1849,70.6,7.1526,70.5532,8.9048,72.2958,13.8111,70.8716,3.8916
70.5749,2.6043,70.552,2.9287,70.6036,3.8147,70.5584,2.7719,72.3367,12.4556,70.8748,9.451
70.5797,3.3431,70.5548,3.118,70.6126,3.1526,70.5754,3.0276,72.3657,12.9667,70.8806,4.3182
70.5817,5.4425,70.5568,6.5947,70.6163,1.049,70.5795,3.0251,72.3698,15.9,70.8838,4.9895
70.5832,2.9142,70.5584,3.3653,70.6191,2.951,70.5868,3.2807,72.3825,15.6333,70.8888,4.3531
70.5863,5.6238,70.567,6.657,70.6251,3.2888,70.5898,2.6341,72.4011,14.1333,70.8932,4.0175
70.5876,2.1053,70.569,3.0423,70.6307,2.921,70.5955,6.1353,72.406,14.5333,70.8951,3.4406
70.5896,2.4639,70.5703,2.8998,70.6343,3.624,70.6025,2.8972,72.4107,16.1667,70.8977,8.2797
70.5921,2.3743,70.5727,3.2806,70.6372,3.3351,70.6054,3.0276,72.4122,12.4889,70.9072,4.6573
70.5961,2.9708,70.574,3.4922,70.6388,3.1335,70.6073,3.3208,72.4289,14.0111,70.9108,4.2867
70.5975,2.5049,70.577,2.7238,70.6412,3.4414,70.6096,3.0226,72.443,13.6667,70.9202,3.2343
70.5992,2.2573,70.5785,2.8864,70.6431,6.9537,70.6126,2.8647,72.4643,11.7,70.9327,4.8462
70.6011,5.6959,70.5832,6.118,70.6513,2.9128,70.6139,2.7669,72.4966,12.5,70.9349,8.6888
70.6097,2.4893,70.588,2.8374,70.6546,9.8011,70.6199,2.7544,72.5008,14.8111,70.9658,3.8706
70.6163,2.1735,70.5975,5.7216,70.6599,2.9619,70.6236,2.9499,72.5057,13.8444,70.9688,3.951
70.6251,2.2281,70.6006,12.4298,70.6643,6.6185,70.633,8.8972,72.5093,12.0111,70.9706,4.1329
70.6343,2.9825,70.6069,5.8753,70.6675,4.5695,70.6421,2.8647,72.5305,14.5778,70.9812,3.4126
70.6372,3.3665,70.6109,6.3541,70.677,7.0599,70.6447,2.7845,72.5365,12.3778,70.9836,3.5839
